title,author,price,in_stock,book_genre,book_url
The Kissing Booth 2,Beth Reekles,230.00,Instock,Young Adults,https://diwanegypt.com/product/the-kissing-booth-2/
The Inheritance Games 2,Jennifer Lynn Barnes,230.00,Out of stock,Young Adults,https://diwanegypt.com/product/the-inheritance-games-2/
The Independent Mind,Osho,280.00,Out of stock,Spirituality,https://diwanegypt.com/product/the-independent-mind/
The Heart Sutra,Osho,340.00,Out of stock,Spirituality,https://diwanegypt.com/product/the-heart-sutra/
The Green Witch,Arin Murphy Hiscock,380.00,Out of stock,Health,https://diwanegypt.com/product/the-green-witch/
The Goose Is Out,Osho,280.00,Out of stock,Spirituality,https://diwanegypt.com/product/the-goose-is-out/
The Emerald Tablet,Dennis William Hauck,380.00,Out of stock,New Age,https://diwanegypt.com/product/the-emerald-tablet/
The Folk of the Air 2,Holly Black,270.00,Out of stock,Young Adults,https://diwanegypt.com/product/the-folk-of-the-air-2/
The Flavor Matrix,James Briscione&Brooke Parkhur,630.00,Out of stock,Cookery,https://diwanegypt.com/product/the-flavor-matrix/
The Search for Peace,Osho,290.00,Out of stock,Spirituality,https://diwanegypt.com/product/the-search-for-peace/
Lead Like A Transformer,Mohamed Shaker,330.00,Instock,Business,https://diwanegypt.com/product/lead-like-a-transformer/
Life Histories of Theban Tombs,Andrea Loprieno-Gnirs,"1,000.00",Instock,Egypt Essential,https://diwanegypt.com/product/life-histories-of-theban-tombs/
Labyrinth,Kate Mosse,315.00,Out of stock,Literature & Fiction,https://diwanegypt.com/product/labyrinth/
I Do Not Sleep,Ihsan Abdel Kouddous,300.00,Instock,Literature & Fiction,https://diwanegypt.com/product/i-do-not-sleep/
I Will Teach You To Be Rich,Ramit Sethi,480.00,Out of stock,Business,https://diwanegypt.com/product/i-will-teach-you-to-be-rich/
Hype Machine,Sinan Aral,425.00,Out of stock,Business,https://diwanegypt.com/product/hype-machine/
Home Stretch,Graham Norton,395.00,Out of stock,Literature & Fiction,https://diwanegypt.com/product/home-stretch/
American Psycho,Bret Easton Ellis,175.00,Instock,Literature & Fiction,https://diwanegypt.com/product/american-psycho/
Zen,Osho,280.00,Out of stock,Spirituality,https://diwanegypt.com/product/zen/
You’ll Be the Death of Me,Karen M. McManus,230.00,Instock,Young Adults,https://diwanegypt.com/product/youll-be-the-death-of-me/
You the Leader,Amy Gallo&Muriel Maignan Wilki,525.00,Instock,Business,https://diwanegypt.com/product/you-the-leader/
Welcome Home,Najwa Zebian,380.00,Instock,Wellbeing,https://diwanegypt.com/product/welcome-home/
Year of the Villain 2,Marc Andreyko&Robert Venditti,380.00,Instock,Graphic Novels,https://diwanegypt.com/product/year-of-the-villain-2/
Year of the Villain 1,James Tynion IV,360.00,Instock,Graphic Novels,https://diwanegypt.com/product/year-of-the-villain-1/
Vladimir,Jonas Julia May,565.00,Out of stock,Literature & Fiction,https://diwanegypt.com/product/vladimir/
Truly Devious 3,Maureen Johnson,250.00,Out of stock,Young Adults,https://diwanegypt.com/product/truly-devious-3/
This Woven Kingdom 1,Tahereh Mafi,250.00,Out of stock,Young Adults,https://diwanegypt.com/product/this-woven-kingdom-1/
To Paradise,Hanya Yanagihara,435.00,Instock,Literature & Fiction,https://diwanegypt.com/product/to-paradise/
These Hollow Vows 1,Lexi Ryan,370.00,Out of stock,Young Adults,https://diwanegypt.com/product/these-hollow-vows-1/
A Golden Fury,Samantha Cohoe,250.00,Instock,Young Adults,https://diwanegypt.com/product/a-golden-fury/
333 Oracle of Heart Wisdom Boo,Alana Fairchild,495.00,Instock,Spirituality,https://diwanegypt.com/product/333-oracle-of-heart-wisdom-boo/
Wuthering Heights,Emily Bronte,285.00,Instock,Literature & Fiction,https://diwanegypt.com/product/wuthering-heights-2/
Writing the History of Mount L,Mouannes Hojairi,800.00,Instock,History,https://diwanegypt.com/product/writing-the-history-of-mount-l/
World’s Greatest Short Stories,Various,390.00,Instock,Literature & Fiction,https://diwanegypt.com/product/worlds-greatest-short-stories/
World’s Greatest Speeches,Various,390.00,Instock,History,https://diwanegypt.com/product/worlds-greatest-speeches/
Us Against You,Fredrik Backman,360.00,Out of stock,Literature & Fiction,https://diwanegypt.com/product/us-against-you/
Treasures of Tutankhamun,Garry J. Shaw,250.00,Instock,Egypt Essential,https://diwanegypt.com/product/treasures-of-tutankhamun/
Treasures of the Egyptian Muse,Francesco Tiradritti,750.00,Instock,Egypt Essential,https://diwanegypt.com/product/treasures-of-the-egyptian-muse-2/
There,Sally Rawhey,175.00,Instock,Literature & Fiction,https://diwanegypt.com/product/there/
The Spirits’ Book,Allan Kardec,700.00,Instock,Spirituality,https://diwanegypt.com/product/the-spirits-book/
The Unspoken Voices,Sally Rawhey,175.00,Instock,Literature & Fiction,https://diwanegypt.com/product/the-unspoken-voices/
The Holistic Leader,Mohamed Shaker,440.00,Instock,Business,https://diwanegypt.com/product/the-holistic-leader/
The Enneagram Guide to Waking,Beatrice Chestnut,430.00,Instock,Psychology,https://diwanegypt.com/product/the-enneagram-guide-to-waking/
Stakeholders Engagement& It’s,Ahmed Fathy,150.00,Instock,Business,https://diwanegypt.com/product/stakeholders-engagement-its/
Spectacular Egypt,Mohamed El-Dakhakhny & Zahi Ha,250.00,Instock,Egypt Essential,https://diwanegypt.com/product/spectacular-egypt/
South Yemen’s Independence Str,Anne-Linda Amira Augustin,750.00,Instock,History,https://diwanegypt.com/product/south-yemens-independence-str/
Sepulchre,Kate Mosse,340.00,Out of stock,Literature & Fiction,https://diwanegypt.com/product/sepulchre/
Collected Interiors Rooms That,Philip Mitchell,"1,145.00",Out of stock,Art,https://diwanegypt.com/product/collected-interiors-rooms-that/
"Cold the Night, Fast the Wolve",Meg Long,395.00,Instock,Young Adults,https://diwanegypt.com/product/cold-the-night-fast-the-wolve/
